Channel 0:
-1.087977 0.5731722
-1.11224 0.6075368
-1.1423243 0.6405543
-1.1782302 0.67222476
-1.1935419 0.6965153
-1.1882596 0.7134258
-1.1860486 0.7554564
-1.1869091 0.82260704
-1.2054882 0.89251685
-1.2417858 0.96518564
-1.297883 1.0563003
-1.3737795 1.1658608
-1.4185673 1.2513169
-1.4322461 1.3126686
-1.4371629 1.3521825
-1.4333175 1.3698587
-1.448322 1.3600171
-1.4821762 1.3226576
-1.5196149 1.3034809
-1.5606383 1.3024865
-1.5743809 1.2898618
-1.5608428 1.2656066
-1.5776693 1.233937
-1.6248605 1.194853
-1.6628014 1.1610111
-1.6914916 1.1324112
-1.7103391 1.0936025
-1.7193441 1.0445849
-1.7249861 1.0220987
-1.7272649 1.0261439
-1.7256913 1.0267149
-1.7202652 1.0238117
-1.696995 1.0011345
-1.6558809 0.9586834
-1.6400594 0.9254799
-1.6495304 0.9015241
-1.6521878 0.8831565
-1.6480316 0.87037694
-1.6242596 0.86688733
-1.5808717 0.87268776
-1.5263944 0.85931736
-1.4608276 0.8267762
-1.3686345 0.8153311
-1.2498146 0.8249821
-1.1392189 0.8304566
-1.0368471 0.8317547
-0.9629519 0.81892604
-0.9175332 0.7919708
-0.8916441 0.76760036
-0.88528454 0.74581474
-0.887998 0.73055613
-0.8997845 0.72182447
-0.9071565 0.699863
-0.910114 0.6646717
-0.88449746 0.6592308
-0.83030695 0.6835404
-0.80908513 0.7105957
-0.82083195 0.7403969
-0.85513604 0.70805365
-0.9119973 0.6135659
-0.9325415 0.55736583
-0.91676867 0.5394535
-0.92626226 0.5137563
-0.9610221 0.4802742
-0.99344206 0.46267036
-1.0235223 0.46094474
-1.0415257 0.46484804
-1.0474526 0.47438028
-1.0714495 0.49936992
-1.1135168 0.5398169
-1.1847414 0.53073543
-1.2851233 0.47212547
-1.3341122 0.42719054
-1.3317076 0.3959306
-1.3369565 0.3855222
-1.3498585 0.3959653
-1.3738294 0.4004777
-1.4088688 0.3990593
-1.5087829 0.41320872
-1.6735716 0.4429259
-1.7970951 0.4899311
-1.8793535 0.55422425
-1.9179206 0.6030024
-1.9127966 0.6362656
-1.9143715 0.6640675
-1.9226453 0.6864082
-1.9345815 0.703644
-1.9501802 0.7157749
-1.9488335 0.71484065
-1.9305415 0.70084125
-1.9539593 0.70193255
-2.0190868 0.71811455
-2.0536342 0.73332167
-2.0576012 0.7475539
-2.04129 0.76695925
-2.0047011 0.7915378
-1.9699271 0.8044094
-1.9369683 0.8055738
-1.9299575 0.8207162
-1.948895 0.84983647
-1.9622208 0.856447
-1.969935 0.8405476
-1.9986405 0.83059067
-2.0483372 0.8265761
-2.0434203 0.8259894
-1.9838898 0.8288307
-1.8929434 0.8230331
-1.770581 0.8085966
-1.6820922 0.7875258
-1.6274767 0.7598206
-1.605621 0.75450075
-1.6165249 0.77156645
-1.6536949 0.79561204
-1.7171307 0.8266374
-1.7823875 0.85794616
-1.8494654 0.8895383
-1.914049 0.91375446
-1.9761384 0.9305947
-2.0059743 0.9649935
-2.0035567 1.016951
-2.0467405 1.0669092
-2.1355252 1.1148684
-2.2587278 1.2064391
-2.4163477 1.3416214
-2.5731096 1.4419225
-2.7290134 1.5073423
-2.8413634 1.541616
-2.9101596 1.5447433
-2.968169 1.5404592
-3.0153913 1.5287638
-3.0346122 1.5343474
-3.0258317 1.5572104
