Channel 0:
-1.9226567 0.6861715
-1.9344726 0.70333034
-1.9499658 0.71538174
-1.9485345 0.714388
-1.9301789 0.70034933
-1.9536195 0.70152295
-2.0188565 0.7179091
-2.0534334 0.73321813
-2.0573504 0.74745023
-2.0411124 0.76679367
-2.0047188 0.79124844
-1.970018 0.8040894
-1.9370098 0.80531657
-1.9300288 0.8204793
-1.949075 0.84957767
-1.9624649 0.8562168
-1.9701985 0.84039676
-1.9988122 0.8305317
-2.048306 0.8266218
-2.0432875 0.82599217
-1.9837565 0.82864296
-1.8927712 0.8227631
-1.7703317 0.8083526
-1.6818346 0.78730166
-1.6272796 0.7596105
-1.6054767 0.75427175
-1.6164258 0.77128565
-1.653593 0.7952906
-1.7169783 0.8262867
-1.7820833 0.85757756
-1.8489078 0.88916326
-1.9133317 0.9134189
-1.9753549 0.9303444
-2.005083 0.9646694
-2.0025163 1.0163939
-2.0457482 1.0663338
-2.1347787 1.1144887
-2.258163 1.206186
-2.4159007 1.3414258
-2.5728014 1.4417838
-2.7288651 1.50726
-2.8411305 1.5414785
-2.9095979 1.5444393
-2.967361 1.5400679
-3.0144196 1.5283644
-3.0337265 1.5340364
-3.025282 1.5570841
-3.0389895 1.5912763
-3.0748496 1.6366129
-3.1233592 1.6795045
-3.1845179 1.7199514
-3.2734497 1.7636787
-3.3901544 1.8106866
-3.4821653 1.852138
-3.5494826 1.8880332
-3.613658 1.9167243
-3.6746912 1.9382114
-3.713437 1.9520401
-3.7298954 1.9582105
-3.748225 1.9585829
-3.768426 1.9531571
-3.7844815 1.9411085
-3.7963922 1.9224372
-3.8103552 1.9142476
-3.826371 1.9165399
-3.812958 1.9226809
-3.7701163 1.9326704
-3.7564518 1.9510957
-3.7719648 1.9779571
-3.7776444 1.995434
-3.7734904 2.0035267
-3.7834625 2.0069816
-3.8075607 2.0057988
-3.8298297 2.0052216
-3.85027 2.0052497
-3.8368196 1.9940525
-3.7894783 1.9716301
-3.7414308 1.9648958
-3.6926775 1.97385
-3.6750693 1.9988475
-3.6886063 2.0398884
-3.6976576 2.0563982
-3.7022235 2.0483766
-3.722367 2.04362
-3.7580886 2.0421288
-3.7788255 2.046171
-3.7845778 2.055747
-3.7757797 2.0457458
-3.752431 2.0161676
-3.7240837 2.0125375
-3.6907382 2.0348558
-3.690738 2.0475438
-3.724083 2.050602
-3.7407537 2.0422246
-3.7407503 2.022412
-3.7578871 2.0192409
-3.7921634 2.0327108
-3.8057065 2.0336812
-3.7985158 2.0221515
-3.7806447 2.0035393
-3.7520926 1.9778445
-3.7252536 1.9452717
-3.700128 1.9058212
-3.6616852 1.8705676
-3.6099248 1.8395109
-3.554492 1.8125036
-3.4953868 1.7895458
-3.3079078 1.6583719
-2.992055 1.4189818
-2.5803561 1.1956257
-2.0728106 0.9883032
-1.7390146 0.8709277
-1.5789684 0.8434992
-1.4561249 0.820398
-1.3704842 0.8016241
-1.2804172 0.7943959
-1.1859239 0.7987134
-1.1469147 0.81909674
-1.1633897 0.855546
-1.1299509 0.8902913
-1.0465984 0.9233326
-0.986458 0.93248844
-0.94952977 0.917759
-0.9252189 0.9154409
-0.91352534 0.9255341
-0.8991605 0.92338896
-0.88212425 0.9090054
-0.8423715 0.90774155
-0.7799022 0.9195975
-0.79155654 0.9358014
-0.87733436 0.9563531
-0.9151046 0.985253
-0.90486735 1.0225009
-0.95701224 1.0588422
-1.0715393 1.0942767
-1.1921217 1.1231927
-1.3187596 1.1455898
-1.3974758 1.164824
-1.4282705 1.180895
-1.4761782 1.1849308
-1.5411992 1.1769313
-1.6054727 1.1637316
-1.6689985 1.1453315
-1.7115891 1.119727
-1.7332445 1.0869182
-1.7582299 1.0609397
-1.786545 1.0417913
-1.8163999 1.0413731
-1.8477943 1.0596852
-1.8628963 1.0579689
-1.861706 1.0362241
-1.8765306 1.027009
-1.9073703 1.0303235
-1.9513342 1.041416
-2.008422 1.0602865
-2.0344677 1.0829648
-2.029471 1.1094509
-2.0149498 1.1224265
-1.9909037 1.1218915
-1.9742064 1.1168253
-1.9648578 1.1072282
-1.9526788 1.0881249
-1.9376694 1.0595155
-1.9485584 1.0565819
-1.9853461 1.0793239
-2.0405262 1.1029352
-2.114098 1.1274158
-2.1566534 1.1331007
-2.168192 1.1199899
-2.1657264 1.1016865
-2.149257 1.0781903
-2.1317031 1.0830245
-2.113065 1.1161891
-2.1110752 1.1293094
-2.1257336 1.1223854
-2.141743 1.1055636
-2.159103 1.0788444
-2.1802316 1.0893906
-2.2051282 1.1372025
-2.2326279 1.1686358
-2.2627306 1.1836909
-2.261536 1.1939877
-2.229044 1.1995264
-2.235371 1.2128495
-2.2805166 1.2339569
-2.3124278 1.2614163
-2.3311043 1.2952276
-2.319271 1.3061259
-2.2769284 1.2941109
-2.270604 1.2949653
-2.3002975 1.3086888
-2.3199487 1.3208523
-2.329558 1.331456
-2.3366787 1.3431644
-2.3413115 1.3559778
-2.365929 1.37473
-2.4105308 1.399421
-2.4345193 1.4236156
-2.4378939 1.447314
-2.4264264 1.4605192
-2.4001164 1.4632312
-2.4173906 1.4322721
-2.4782484 1.3676418
-2.4828842 1.3185481
-2.431298 1.2849908
-2.3891647 1.2659473
-2.356484 1.2614175
-2.360297 1.2579606
-2.4006035 1.2555764
-2.4480867 1.2638487
-2.5027466 1.2827773
-2.5681286 1.3162616
-2.6442332 1.3643019
-2.6386266 1.3880538
-2.5513093 1.3875175
-2.5256755 1.3753299
-2.5617251 1.351491
-2.579317 1.3311067
-2.5784516 1.3141769
-2.5703132 1.3081176
-2.5549026 1.3129292
-2.5488446 1.3541665
-2.5521398 1.43183
-2.6297696 1.4717673
-2.7817342 1.4739783
-2.758392 1.4351449
-2.5597432 1.3552675
-2.4772115 1.3066213
-2.5107973 1.2892065
-2.5064573 1.2395983
-2.464192 1.1577971
-2.4430592 1.1168964

Channel 1:
-0.24816664 -0.07289808
-0.2589682 -0.049351018
-0.28057134 -0.0022568787
-0.30316994 0.04424112
-0.32676402 0.09014297
-0.34564784 0.14540516
-0.35982138 0.21002766
-0.35873583 0.26106378
-0.34239116 0.29851353
-0.3421393 0.3147176
-0.35798013 0.309676
-0.3881074 0.30985993
-0.43252108 0.31526932
-0.4553633 0.30259556
-0.4566341 0.27183864
-0.4250528 0.2524991
-0.3606193 0.24457696
-0.34823602 0.26611954
-0.38790286 0.31712678
-0.40131915 0.36022636
-0.38848472 0.39541823
-0.38393617 0.41163355
-0.3876735 0.40887234
-0.42726353 0.4170132
-0.5027063 0.43605614
-0.57458293 0.46526486
-0.64289355 0.5046394
-0.68094075 0.5344212
-0.6887245 0.55461025
-0.69639194 0.5539628
-0.7039431 0.5324789
-0.7502947 0.53673315
-0.8354468 0.5667256
-0.94638485 0.5861486
-1.0831088 0.5950022
-1.1700597 0.5938845
-1.2072375 0.5827957
-1.2139376 0.5953412
-1.19016 0.6315213
-1.1679385 0.6485473
-1.147273 0.6464194
